cyear,ccode,scode,country,year,flag,fragment,democ,autoc,polity,polity2,durable,xrreg,xrcomp,xropen,xconst,parreg,parcomp,exrec,exconst,polcomp,prior,emonth,eday,eyear,eprec,interim,bmonth,bday,byear,bprec,post,change,d4,sf,regtrans
7001947,700,AFG,Afghanistan,1947,0,,0,10,-10,-10,,3,1,1,1,4,1,1,1,1,,,,,,,,,,,,,,,
3391947,339,ALB,Albania,1947,0,,0,9,-9,-9,0,2,1,4,1,4,1,3,1,1,,,,,,,,,,,,,,,
1601947,160,ARG,Argentina,1947,0,,-88,-88,-88,-9,0,-88,-88,-88,-88,-88,-88,-88,-88,-88,,,,,,-88,,,,,,0,,,0
9001947,900,AUL,Australia,1947,0,,10,0,10,10,46,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
3051947,305,AUS,Austria,1947,0,,10,0,10,10,1,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
2111947,211,BEL,Belgium,1947,0,,10,0,10,10,3,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
7601947,760,BHU,Bhutan,1947,0,,0,10,-10,-10,40,3,1,1,1,4,1,1,1,1,,,,,,,,,,,,,,,
1451947,145,BOL,Bolivia,1947,0,,1,6,-5,-5,11,2,1,4,1,3,3,3,1,6,,,,,,,,,,,,,,,
1401947,140,BRA,Brazil,1947,0,,6,1,5,5,1,3,3,4,5,3,3,8,5,6,7,5,1,1947,1,,5,2,1947,1,5,-2,1,,0
3551947,355,BUL,Bulgaria,1947,0,,0,7,-7,-7,0,2,1,4,3,4,1,3,3,1,-10,8,29,1943,2,-6,12,5,1947,1,-7,3,1,,1
201947,20,CAN,Canada,1947,0,,10,0,10,10,59,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
1551947,155,CHL,Chile,1947,0,,3,1,2,2,12,2,2,4,3,2,3,7,3,7,,,,,,,,,,,,,,,
7101947,710,CHN,China,1947,0,,1,6,-5,-5,0,2,1,4,1,3,3,3,1,6,,,,,,,,,,,,,,,
1001947,100,COL,Colombia,1947,0,,6,1,5,5,17,3,3,4,3,5,5,8,3,10,,,,,,,,,,,,,,,
941947,94,COS,Costa Rica,1947,0,,10,0,10,10,28,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
401947,40,CUB,Cuba,1947,0,,4,1,3,3,30,3,3,4,3,2,3,8,3,7,,,,,,,,,,,,,,,
3151947,315,CZE,Czechoslovakia,1947,0,,-88,-88,-88,2,0,-88,-88,-88,-88,-88,-88,-88,-88,-88,10,9,15,1947,3,-88,,,,,,0,,,-2
3901947,390,DEN,Denmark,1947,0,,10,0,10,10,2,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
421947,42,DOM,Dominican Rep,1947,0,,0,9,-9,-9,15,2,1,4,1,4,1,3,1,1,,,,,,,,,,,,,,,
1301947,130,ECU,Ecuador,1947,0,,1,2,-1,-1,117,1,0,0,3,3,3,4,3,6,,,,,,,,,,,,,,,
6511947,651,EGY,Egypt,1947,0,,5,4,1,1,13,3,1,1,7,3,3,1,7,6,,,,,,,,,,,,,,,
