"","obsid","leadid","ccode","idacr","leader","startdate","enddate","bornin","died","eindate","eoutdate","entry","exit","exitcode","prevtimesinoffice","posttenurefate","gender","borndate","yrborn","deathdate","yrdied"
"1","USA-1869","A2.9-1",2,"USA","Grant","04/03/1869","04/03/1877","1822","23/07/1885",1869-03-04,1877-03-04,0,1,0,0,0,"M",NA,1822,1885-07-23,1885
"2","USA-1877","A2.9-4",2,"USA","Hayes","04/03/1877","04/03/1881","1822","17/01/1893",1877-03-04,1881-03-04,0,1,0,0,0,"M",NA,1822,1893-01-17,1893
"3","USA-1881-1","A2.9-7",2,"USA","Garfield","04/03/1881","19/09/1881","1831","19/09/1881",1881-03-04,1881-09-19,0,3,11,0,3,"M",NA,1831,1881-09-19,1881
"4","USA-1881-2","A2.9-10",2,"USA","Arthur","19/09/1881","04/03/1885","1829","18/11/1886",1881-09-19,1885-03-04,0,1,0,0,0,"M",NA,1829,1886-11-18,1886
"5","USA-1885","A2.9-13",2,"USA","Cleveland","04/03/1885","04/03/1889","1837","24/06/1908",1885-03-04,1889-03-04,0,1,0,0,0,"M",NA,1837,1908-06-24,1908
"6","USA-1889","A2.9-16",2,"USA","Harrison","04/03/1889","04/03/1893","1833","13/03/1901",1889-03-04,1893-03-04,0,1,0,0,0,"M",NA,1833,1901-03-13,1901
"7","USA-1893","A2.9-19",2,"USA","Cleveland","04/03/1893","04/03/1897","1837","24/06/1908",1893-03-04,1897-03-04,0,1,0,1,0,"M",NA,1837,1908-06-24,1908
"8","USA-1897","A2.9-22",2,"USA","McKinley","04/03/1897","14/09/1901","1843","14/09/1901",1897-03-04,1901-09-14,0,3,11,0,3,"M",NA,1843,1901-09-14,1901
"9","USA-1901","A2.9-25",2,"USA","Roosevelt, T.","14/09/1901","04/03/1909","1858","1919",1901-09-14,1909-03-04,0,1,0,0,0,"M",NA,1858,NA,1919
"10","USA-1909","A2.9-28",2,"USA","Taft","04/03/1909","04/03/1913","1857","1930",1909-03-04,1913-03-04,0,1,0,0,0,"M",NA,1857,NA,1930
"11","USA-1913","A2.9-31",2,"USA","Wilson","04/03/1913","04/03/1921","1856","1924",1913-03-04,1921-03-04,0,1,0,0,0,"M",NA,1856,NA,1924
"12","USA-1921","A2.9-34",2,"USA","Harding","04/03/1921","03/08/1923","1865","1923",1921-03-04,1923-08-03,0,2,0,0,-777,"M",NA,1865,NA,1923
"13","USA-1923","A2.9-37",2,"USA","Coolidge","03/08/1923","04/03/1929","1872","1933",1923-08-03,1929-03-04,0,1,0,0,0,"M",NA,1872,NA,1933
"14","USA-1929","A2.9-40",2,"USA","Hoover","04/03/1929","04/03/1933","1874","1964",1929-03-04,1933-03-04,0,1,0,0,0,"M",NA,1874,NA,1964
"15","USA-1933","A2.9-43",2,"USA","Roosevelt, F.","04/03/1933","12/04/1945","1882","1945",1933-03-04,1945-04-12,0,2,0,0,-777,"M",NA,1882,NA,1945
"16","USA-1945","A2.9-46",2,"USA","Truman","12/04/1945","20/01/1953","1884","1972",1945-04-12,1953-01-20,0,1,0,0,0,"M",NA,1884,NA,1972
"17","USA-1953","A2.9-49",2,"USA","Eisenhower","20/01/1953","20/01/1961","1890","1969",1953-01-20,1961-01-20,0,1,0,0,0,"M",NA,1890,NA,1969
"18","USA-1961","A2.9-52",2,"USA","Kennedy","20/01/1961","22/11/1963","1917","1963",1961-01-20,1963-11-22,0,3,11,0,3,"M",NA,1917,NA,1963
"19","USA-1963","A2.9-55",2,"USA","Johnson","22/11/1963","20/01/1969","1908","1973",1963-11-22,1969-01-20,0,1,0,0,0,"M",NA,1908,NA,1973
"20","USA-1969","A2.9-58",2,"USA","Nixon","20/01/1969","09/08/1974","1913","1994",1969-01-20,1974-08-09,0,1,0,0,0,"M",NA,1913,NA,1994
"21","USA-1974","A2.9-61",2,"USA","Ford","09/08/1974","20/01/1977","1913","2006",1974-08-09,1977-01-20,0,1,0,0,0,"M",NA,1913,NA,2006
"22","USA-1977","A2.9-64",2,"USA","Carter","20/01/1977","20/01/1981","1924","-777",1977-01-20,1981-01-20,0,1,0,0,0,"M",NA,1924,NA,-777
"23","USA-1981","A2.9-67",2,"USA","Reagan","20/01/1981","20/01/1989","1911","2004",1981-01-20,1989-01-20,0,1,0,0,0,"M",NA,1911,NA,2004
"24","USA-1989","A2.9-70",2,"USA","Bush","20/01/1989","20/01/1993","1924","-777",1989-01-20,1993-01-20,0,1,0,0,0,"M",NA,1924,NA,-777
"25","USA-1993","A2.9-73",2,"USA","Clinton","20/01/1993","20/01/2001","1946","-777",1993-01-20,2001-01-20,0,1,0,0,0,"M",NA,1946,NA,-777
"26","USA-2001","A2.9-76",2,"USA","G.W. Bush","21/01/2001","31/12/2004","1946","-777",2001-01-21,2004-12-31,0,-888,0,0,-888,"M",NA,1946,NA,-777
"27","CAN-1873","A2.9-79",20,"CAN","Mackenzie","07/11/1873","17/10/1878","1822","17/04/1892",1873-11-07,1878-10-17,0,1,0,0,0,"M",NA,1822,1892-04-17,1892
"28","CAN-1878","A2.9-82",20,"CAN","Macdonald","17/10/1878","06/06/1891","1815","06/06/1891",1878-10-17,1891-06-06,0,2,0,1,-777,"M",NA,1815,1891-06-06,1891
"29","CAN-1891","A2.9-85",20,"CAN","Abbott","16/06/1891","05/12/1892","1821","30/10/1893",1891-06-16,1892-12-05,0,1,0,0,0,"M",NA,1821,1893-10-30,1893
"30","CAN-1892","A2.9-88",20,"CAN","Thompson","05/12/1892","12/12/1894","1845","1894",1892-12-05,1894-12-12,0,2,0,0,-777,"M",NA,1845,NA,1894
"31","CAN-1894","A2.9-91",20,"CAN","Bowell","21/12/1894","01/05/1896","1823","1917",1894-12-21,1896-05-01,0,1,0,0,0,"M",NA,1823,NA,1917
"32","CAN-1896-1","A2.9-94",20,"CAN","Tupper","01/05/1896","11/07/1896","1821","1915",1896-05-01,1896-07-11,0,1,0,0,0,"M",NA,1821,NA,1915
"33","CAN-1896-2","A2.9-97",20,"CAN","Laurier","11/07/1896","10/10/1911","1841","1919",1896-07-11,1911-10-10,0,1,0,0,0,"M",NA,1841,NA,1919
"34","CAN-1911","A2.9-100",20,"CAN","Borden","10/10/1911","10/06/1920","1854","1937",1911-10-10,1920-06-10,0,2.1,0,0,0,"M",NA,1854,NA,1937
"35","CAN-1920","A2.9-103",20,"CAN","Meighen","10/07/1920","29/12/1921","1874","1960",1920-07-10,1921-12-29,0,1,0,0,0,"M",NA,1874,NA,1960
"36","CAN-1921","A2.9-106",20,"CAN","King","29/12/1921","28/06/1926","1874","1951",1921-12-29,1926-06-28,0,1,0,0,0,"M",NA,1874,NA,1951
"37","CAN-1926-1","A2.9-109",20,"CAN","Meighen","29/06/1926","25/09/1926","1874","1960",1926-06-29,1926-09-25,0,1,0,1,0,"M",NA,1874,NA,1960
"38","CAN-1926-2","A2.9-112",20,"CAN","King","25/09/1926","07/08/1930","1874","1951",1926-09-25,1930-08-07,0,1,0,1,0,"M",NA,1874,NA,1951
"39","CAN-1930","A2.9-115",20,"CAN","Bennett","07/08/1930","23/10/1935","1870","1947",1930-08-07,1935-10-23,0,1,0,0,0,"M",NA,1870,NA,1947
"40","CAN-1935","A2.9-118",20,"CAN","King","23/10/1935","15/11/1948","1874","1951",1935-10-23,1948-11-15,0,2.1,0,2,0,"M",NA,1874,NA,1951
"41","CAN-1948","A2.9-121",20,"CAN","St. Laurent","15/11/1948","21/06/1957","1/2/1882","1973",1948-11-15,1957-06-21,0,1,0,0,0,"M",1882-02-01,1882,NA,1973
"42","CAN-1957","A2.9-124",20,"CAN","Diefenbaker","21/06/1957","22/04/1963","18/9/1895","1979",1957-06-21,1963-04-22,0,1,0,0,0,"M",1895-09-18,1895,NA,1979
"43","CAN-1963","A2.9-127",20,"CAN","Pearson","22/04/1963","20/04/1968","23/4/1897","1972",1963-04-22,1968-04-20,0,1,0,0,0,"M",1897-04-23,1897,NA,1972
"44","CAN-1968","A2.9-130",20,"CAN","Trudeau","20/04/1968","04/06/1979","18/10/1919","2000",1968-04-20,1979-06-04,0,1,0,0,0,"M",1919-10-18,1919,NA,2000
