"","DSU_Case_mod","CASE_ID","s.ccodeIMP","IMP_DATE","t.ccodeIMP","i.date","t.ccodeINV","s.ccodeINV","V_NUMBER.x","AD_CTY_NAME","CASE_REPCODE","INV_CTY_NAME","INV_CTY_CODE","PRODUCT","INIT_DATE","P_DUMP_DATE","P_INJ_DATE","P_DUMP_DEC","P_INJ_DEC","P_AD_DATE","P_AD_MEASURE","F_DUMP_DATE","F_INJ_DATE","F_DUMP_DEC","F_INJ_DEC","F_AD_DATE","F_AD_MEASURE","REVOKE_DATE","REVOKE_YEAR","WTO_F_AD_MEASURE","WTO_F_MARGIN_MIN","WTO_F_MARGIN_MAX","WTO_CITATION","s.polity2INV","s.democINV","s.democ.iINV","t.polity2INV","t.democ.iINV","wtopd","s.TX.VAL.AGRI.ZS.UNINV","t.TX.VAL.AGRI.ZS.UNINV","s.NE.TRD.GNFS.ZSINV","t.NE.TRD.GNFS.ZSINV","prevint","s.NY.GDP.PCAP.CDINV","t.NY.GDP.PCAP.CDINV","s.NY.GDP.MKTP.CDINV","t.NY.GDP.MKTP.CDINV","s.NE.EXP.GNFS.ZSINV","t.NE.EXP.GNFS.ZSINV","s.NV.AGR.TOTL.ZSINV","t.NV.AGR.TOTL.ZSINV","sdateINV","cdate","einitdate","t.tenureINV","s.tenureINV","eP_AD_DATE","s.NY.GDP.MKTP.CD_IMP","t.NY.GDP.MKTP.CD_IMP","s.NE.EXP.GNFS.ZS_IMP","t.NE.EXP.GNFS.ZS_IMP","s.NE.TRD.GNFS.ZS_IMP","t.NE.TRD.GNFS.ZS_IMP","s.NY.GDP.PCAP.CD_IMP","t.NY.GDP.PCAP.CD_IMP","s.NV.AGR.TOTL.ZS_IMP","t.NV.AGR.TOTL.ZS_IMP","WTOname.x","s.WTOdate","WTOname.y","t.WTOdate","t.WTOmem","s.WTOmem","t.GATTname","t.GATTdate","s.GATTname","s.GATTdate","s.GATTmem","t.GATTmem","t.polity2_IMP","t.democ_IMP","s.polity2_IMP","s.democ_IMP","s.democ.i_IMP","t.democ.i_IMP","V_NUMBER.y","AD.imposing.country","DSU_Case","DSU.case.descriptor","Exporting.Country","DSU_INIT_YR","AD_INIT_YR","AD_OTH_YR","unique","F_DATE","chal","pan_date","panel_date","panel.i"
"2",2,"USA-AD-747",2,"1996",70,1996,70,2,"Q4_2012","USA","USA-AD-747","Mexico","MEX","Fresh Tomatoes","4/5/96","11/1/96","6/6/96","OTH","A","11/1/96",".",".",".",".",".",".",".","IF","IF","MI","MI","MI","G/ADP/N/22/USA",10,10,1,4,0,1,3.072677564,1.164146926,22.61178736,50.72412577,1,30068.22721,4088.455459,8.1e+12,3.97e+11,10.71084665,26.72858685,1.805715555,4.719838656,"4/5/96",1996-04-05,1996-04-05,491,1171,1996-11-01,8.1e+12,3.97e+11,10.71084665,26.72858685,22.61178736,50.72412577,30068.22721,4088.455459,1.805715555,4.719838656,"United States of America",1995-01-01,"Mexico ",1995-01-01,1,1,"Mexico",1986-08-24,"United States of America",1948-01-01,1,1,4,4,10,10,1,0,"Q4_2013","USA","DS-049","Anti-Dumping Investigation Regarding Imports of Fresh or Chilled Tomatoes from Mexico","Mexico",1996,"1996",1996,1,NA,1,"03/25/1995",1995-03-25,1
"6",7,"MEX-AD-183",70,"1997",2,1997,2,70,"Q4_2012","Mexico","MEX-AD-183","USA","USA","High Fructose Corn Syrup","2/27/97","6/25/97","6/25/97","A","A","6/26/97","SD","1/28/98","1/28/98","A","A","1/24/98","SD","5/20/02","2002","SD","MI","MI","G/ADP/N/41/MEX",6,6,1,10,1,1,1.002618009,2.672195833,49.32015831,23.34436894,0,4855.629476,31572.63522,4.81e+11,8.61e+12,25.23093323,11.07974676,4.37469987,1.685758917,"2/27/97",1997-02-27,1997-02-27,1499,819,1997-06-26,4.81e+11,8.61e+12,25.23093323,11.07974676,49.32015831,23.34436894,4855.629476,31572.63522,4.37469987,1.685758917,"Mexico ",1995-01-01,"United States of America",1995-01-01,1,1,"United States of America",1948-01-01,"Mexico",1986-08-24,1,1,10,10,6,6,1,1,"Q4_2013","Mexico ","DS-101","Anti-Dumping Investigation of High-Fructose Corn Syrup (HFCS) from the United States","USA",1997,"1997",1997,1,1998,1,"07/07/1995",1995-07-07,1
"7",8,"AUS-AD-344",900,"1997",225,1997,225,900,"Q4_2012","Australia","AUS-AD-331","Switzerland","CHE","Coated Woodfree Paper in Sheets","7/9/97","11/21/97","11/21/97","A","A","11/21/97","MI","5/8/98","5/8/98","N","N",".",".",".",".",".",".",".",".",10,10,1,10,1,1,8.064125384,0.594116125,37.92803761,73.74722511,0,23536.68349,38407.95376,4.36e+11,2.72e+11,19.11934236,39.17839331,3.55281644,1.478351821,"7/9/97",1997-07-09,1997-07-09,189,485,1997-11-21,4.36e+11,2.72e+11,19.11934236,39.17839331,37.92803761,73.74722511,23536.68349,38407.95376,3.55281644,1.478351821,"Australia ",1995-01-01,"Switzerland ",1995-07-01,1,1,"Switzerland",1966-08-01,"Australia",1948-01-01,1,1,10,10,10,10,1,1,"Q4_2013","Australia ","DS-119","Anti-Dumping Measures on Imports of Coated Woodfree Paper Sheets","Switzerland",1998,"1997",1997,1,NA,1,"09/14/1995",1995-09-14,1
"8",9,"THA-AD-1",800,"1996",290,1996,290,800,"Q2_2012","Thailand","THA-AD-1","Poland","POL","Iron or Non-Alloy Steel: H Section","8/30/96","MI","MI","A","A","12/27/96","MI","MI","MI","A","A","5/26/97","MI","MI","MI","AVD","27.78","27.78","G/ADP/N/41/THA",9,9,1,9,1,1,5.361374003,2.237046386,84.77790103,46.04792205,0,3054.753307,4056.612425,1.82e+11,1.57e+11,39.25165463,22.30846803,9.501520234,7.54644869,"8/30/96",1996-08-30,1996-08-30,251,414,1996-12-27,1.82e+11,1.57e+11,39.25165463,22.30846803,84.77790103,46.04792205,3054.753307,4056.612425,9.501520234,7.54644869,"Thailand ",1995-01-01,"Poland ",1995-07-01,1,1,"Poland",1967-10-18,"Thailand",1982-11-20,1,1,9,9,9,9,1,1,"Q4_2013","Thailand ","DS-122","H-Beams","Poland",1998,"1996",1996,1,1997,1,"09/14/1995",1995-09-14,1
"9",10,"MEX-AD-183",70,"1997",2,1997,2,70,"Q4_2012","Mexico","MEX-AD-183","USA","USA","High Fructose Corn Syrup","2/27/97","6/25/97","6/25/97","A","A","6/26/97","SD","1/28/98","1/28/98","A","A","1/24/98","SD","5/20/02","2002","SD","MI","MI","G/ADP/N/41/MEX",6,6,1,10,1,1,1.002618009,2.672195833,49.32015831,23.34436894,0,4855.629476,31572.63522,4.81e+11,8.61e+12,25.23093323,11.07974676,4.37469987,1.685758917,"2/27/97",1997-02-27,1997-02-27,1499,819,1997-06-26,4.81e+11,8.61e+12,25.23093323,11.07974676,49.32015831,23.34436894,4855.629476,31572.63522,4.37469987,1.685758917,"Mexico ",1995-01-01,"United States of America",1995-01-01,1,1,"United States of America",1948-01-01,"Mexico",1986-08-24,1,1,10,10,6,6,1,1,"Q4_2013","Mexico ","DS-132","Corn Syrup","USA",1998,"1997",1997,0,1998,1,"09/14/1995",1995-09-14,1
"10",11,"EUN-AD-381",994,"1998",750,1997,750,994,"Q4_2012","European Union","EUN-AD-379","India","IND","Cotton Fabrics","7/11/97","4/7/98","4/7/98","A","A","4/7/98","AVD",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,1,9,1,1,1.751742861,2.004066084,62.87320261,22.22954875,1,18306.25003,427.2361968,8.89e+12,4.23e+11,32.33718379,10.50646612,2.747584066,25.88700833,"7/11/97",1997-07-11,1997-07-11,81,NA,1998-04-07,9.2e+12,4.29e+11,32.54378883,10.82856928,63.84209982,23.29101706,18919.92294,425.4452943,2.566497586,25.79098082,"European Union",1995-01-01,"India ",1995-01-01,1,1,"India",1948-07-08,NA,NA,NA,1,9,9,6,NA,1,1,"Q4_2013","EUN ","DS-140","Anti-Dumping Investigations Regarding Unbleached Cotton Fabrics from India","India",1998,"1997",1997,1,NA,1,"09/14/1995",1995-09-14,1
"11",12,"EUN-AD-356",994,"1997",750,1996,750,994,"Q4_2012","European Union","EUN-AD-355","India","IND","Bed Linen (Cotton Type)","9/13/96","6/12/97","6/12/97","A","A","6/12/97","AVD","11/28/97","11/28/97","A","A","11/28/97","AVD","12/20/03","2003","AVD","2.6","24.7","G/ADP/N/35/EEC",NA,NA,1,9,1,1,1.812418903,2.53330323,59.52104043,21.55153995,1,19449.99077,410.8183568,9.43e+12,4e+11,30.53347661,10.2061841,2.856364089,27.12742197,"9/13/96",1996-09-13,1996-09-13,104,NA,1997-06-12,8.89e+12,4.23e+11,32.33718379,10.50646612,62.87320261,22.22954875,18306.25003,427.2361968,2.747584066,25.88700833,"European Union",1995-01-01,"India ",1995-01-01,1,1,"India",1948-07-08,NA,NA,NA,1,9,9,6,NA,1,1,"Q4_2013","EUN ","DS-141","Bed Linen","India",1998,"1996",1996,1,1997,1,"09/18/1995",1995-09-18,1
"17",16,"USA-AD-791",2,"1998",732,1998,732,2,"Q4_2012","USA","USA-AD-788","South Korea","KOR","Stainless Steel Plate in Coils","4/9/98","11/4/98","5/28/98","A","A","11/4/98","AVD","3/31/99","5/12/99","A","A","5/21/99","AVD","12/1/11","2011","AVD","16.26","16.26","G/ADP/N/53/USA",10,10,1,8,1,1,2.349922309,1.10598414,22.75912907,72.9054547,1,32948.95126,8133.731245,9.09e+12,3.76e+11,10.48398631,42.35677439,1.300089704,4.636583786,"4/9/98",1998-04-09,1998-04-09,43,1905,1998-11-04,9.09e+12,3.76e+11,10.48398631,42.35677439,22.75912907,72.9054547,32948.95126,8133.731245,1.300089704,4.636583786,"United States of America",1995-01-01,"South Korea",1995-01-01,1,1,"South Korea",1967-04-14,"United States of America",1948-01-01,1,1,8,8,10,10,1,1,"Q4_2013","USA","DS-179","Stainless Steel","Korea",1999,"1998",1998,1,1999,1,"",NA,0
"18",16,"USA-AD-801",2,"1999",732,1998,732,2,"Q4_2012","USA","USA-AD-797","South Korea","KOR","Stainless Steel Sheet and Strip","6/17/98","1/4/99","8/5/98","A","A","1/4/99","AVD","6/8/99","7/28/99","A","A","7/27/99","AVD","IF","IF","AVD","MI","MI","MI",10,10,1,8,1,1,2.349922309,1.10598414,22.75912907,72.9054547,1,32948.95126,8133.731245,9.09e+12,3.76e+11,10.48398631,42.35677439,1.300089704,4.636583786,"6/17/98",1998-06-17,1998-06-17,112,1974,1999-01-04,9.67e+12,4.86e+11,10.23412686,35.77703363,23.17266209,65.43023242,34639.11984,10432.2108,1.219934045,4.75889537,"United States of America",1995-01-01,"South Korea",1995-01-01,1,1,"South Korea",1967-04-14,"United States of America",1948-01-01,1,1,8,8,10,10,1,1,"Q4_2013","USA","DS-179","Stainless Steel","Korea",1999,"1998",1998,1,1999,1,"",NA,0
"19",17,"ECU-AD-1",130,"1999",70,1998,70,130,"Q4_2012","Ecuador","ECU-AD-1","Mexico","MEX","Grey Portland Cement","1/26/98","6/1/99","6/1/99","A","A","7/14/99","AVD","1/6/00","1/6/00","A","A","1/14/00","AVD","5/4/00","2000","MI","MI","MI","MI",9,9,1,6,1,1,4.899153486,0.783309588,43.39510795,51.77609803,1,2323.556239,4986.252659,27981319125,5.02e+11,17.89195087,25.74892715,18.32287554,4.206365878,"1/26/98",1998-01-26,1998-01-26,1152,349,1999-07-14,19644866963,5.79e+11,26.37754164,25.48169145,49.2012508,51.2689011,1598.83413,5663.388512,18.32826619,3.953796773,"Ecuador ",1996-01-21,"Mexico ",1995-01-01,1,1,"Mexico",1986-08-24,NA,NA,NA,1,6,6,9,9,1,1,"Q4_2013","Ecuador ","DS-182","Provisional Anti-Dumping Measure on Cement from Mexico","Mexico",1999,"1998",1998,1,2000,1,"",NA,0
