"","year","ccode","polity2","democ"
"1",1947,700,-10,0
"2",1947,339,-9,0
"3",1947,160,-9,-88
"4",1947,900,10,10
"5",1947,305,10,10
"6",1947,211,10,10
"7",1947,760,-10,0
"8",1947,145,-5,1
"9",1947,140,5,6
"10",1947,355,-7,0
"11",1947,20,10,10
"12",1947,155,2,3
"13",1947,710,-5,1
"14",1947,100,5,6
"15",1947,94,10,10
"16",1947,40,3,4
"17",1947,315,2,-88
"18",1947,390,10,10
"19",1947,42,-9,0
"20",1947,130,-1,1
"21",1947,651,1,5
"22",1947,530,-9,0
"23",1947,375,10,10
"24",1947,220,10,10
"25",1947,265,NA,-66
"26",1947,255,NA,-66
"27",1947,350,8,8
"28",1947,90,5,6
"29",1947,41,-2,-88
"30",1947,91,-3,1
"31",1947,310,-6,-88
"32",1947,850,2,4
"33",1947,205,8,8
"34",1947,630,-1,3
"35",1947,645,-4,1
"36",1947,325,8,-88
"37",1947,663,-10,0
"38",1947,740,NA,-66
"39",1947,450,-6,0
"40",1947,660,2,4
"41",1947,212,10,10
"42",1947,70,-6,0
"43",1947,712,-9,0
"44",1947,790,-5,0
"45",1947,920,10,10
"46",1947,93,-8,0
"47",1947,385,10,10
"48",1947,210,10,10
"49",1947,698,-6,0
"50",1947,95,-3,0
"51",1947,150,-5,1
"52",1947,135,2,4
"53",1947,840,2,4
"54",1947,769,-4,1
"55",1947,290,-7,0
"56",1947,235,-9,0
"57",1947,360,-7,-88
"58",1947,560,4,7
"59",1947,92,-8,0
"60",1947,670,-10,0
"61",1947,230,-7,0
"62",1947,380,10,10
"63",1947,225,10,10
"64",1947,652,5,5
"65",1947,800,-3,1
"66",1947,640,7,7
"67",1947,200,10,10
"68",1947,165,0,3
"69",1947,2,10,10
"70",1947,364,-9,0
"71",1947,101,-3,1
"72",1947,678,-7,-88
"73",1947,345,-7,0
"74",1948,700,-10,0
"75",1948,339,-9,0
"76",1948,160,-9,0
"77",1948,900,10,10
"78",1948,305,10,10
"79",1948,211,10,10
"80",1948,760,-10,0
"81",1948,145,-5,1
"82",1948,140,5,6
"83",1948,355,-7,0
"84",1948,20,10,10
"85",1948,155,2,3
"86",1948,710,-5,1
"87",1948,100,-5,1
"88",1948,94,10,10
"89",1948,40,3,4
"90",1948,315,-7,0
"91",1948,390,10,10
"92",1948,42,-9,0
"93",1948,130,2,4
"94",1948,651,1,5
"95",1948,530,-9,0
"96",1948,375,10,10
"97",1948,220,10,10
"98",1948,265,NA,-66
"99",1948,255,NA,-66
"100",1948,350,8,8
"101",1948,90,5,6
"102",1948,41,-3,-88
"103",1948,91,-3,1
"104",1948,310,-7,0
"105",1948,850,3,5
"106",1948,205,8,8
"107",1948,630,-1,3
"108",1948,645,-4,1
"109",1948,666,10,10
"110",1948,325,10,10
"111",1948,663,-10,0
"112",1948,740,NA,-66
"113",1948,450,-6,0
"114",1948,660,2,4
"115",1948,212,10,10
"116",1948,70,-6,0
"117",1948,712,-9,0
"118",1948,775,8,8
"119",1948,790,-5,0
"120",1948,920,10,10
"121",1948,93,-8,0
"122",1948,385,10,10
"123",1948,210,10,10
"124",1948,698,-6,0
"125",1948,95,-3,0
"126",1948,150,-5,1
"127",1948,135,-6,0
"128",1948,840,2,4
"129",1948,769,2,3
"130",1948,290,-7,0
"131",1948,235,-9,0
"132",1948,731,-7,0
"133",1948,732,-3,1
"134",1948,360,-7,0
"135",1948,560,4,7
"136",1948,92,-7,-88
"137",1948,670,-10,0
"138",1948,230,-7,0
"139",1948,780,7,7
"140",1948,380,10,10
"141",1948,225,10,10
"142",1948,652,5,5
"143",1948,800,-3,1
"144",1948,640,7,7
"145",1948,200,10,10
"146",1948,165,0,3
"147",1948,2,10,10
"148",1948,364,-9,0
"149",1948,101,-3,1
"150",1948,678,-6,1
"151",1948,345,-7,0
"152",1949,700,-10,0
"153",1949,339,-9,0
"154",1949,160,-9,0
"155",1949,900,10,10
