V_NUMBER,AD_CTY_NAME,CASE_ID,CASE_REPCODE,INV_CTY_NAME,INV_CTY_CODE,PRODUCT,INIT_DATE,P_DUMP_DATE,P_INJ_DATE,P_DUMP_DEC,P_INJ_DEC,P_AD_DATE,P_AD_MEASURE,F_DUMP_DATE,F_INJ_DATE,F_DUMP_DEC,F_INJ_DEC,F_AD_DATE,F_AD_MEASURE,REVOKE_DATE,REVOKE_YEAR,WTO_F_AD_MEASURE,WTO_F_MARGIN_MIN,WTO_F_MARGIN_MAX,WTO_CITATION,CASE_CBSA,CASE_CITT,RELATED_CVD,INIT_DATE_CBSA,INIT_DATE_CITT,P_AVG_DUTY,F_AVG_DUTY,TERM_DATE,NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-1,CAN-AD-1,USA,USA,Charcoal Briquets,01/18/1985,04/16/1985,03/13/1985,A,A,04/16/1985,AVD,07/04/1985,08/14/1985,A,A,08/14/1985,AVD,05/15/1990,1990,AVD,.,.,.,MI,MI,.,01/18/1985,.,22.40,60.50,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-2,CAN-AD-2,Japan,JPN,Rail Car and Locomotive Axels,01/24/1985,04/24/1985,03/15/1985,A,A,04/24/1985,AVD,.,.,T,.,.,.,.,.,.,.,.,.,MI,.,.,01/24/1985,.,7.35,0.00,07/18/1985,"note in the final report says that proceedings were ""terminated"" on 4/24/85, because found no dumping",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-3,CAN-AD-2,USA,USA,Rail Car and Locomotive Axels,01/24/1985,04/24/1985,03/15/1985,A,A,04/24/1985,AVD,07/18/1985,08/22/1985,A,N,.,.,.,.,.,.,.,.,MI,MI,.,01/24/1985,.,10.2,0.00,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-4,CAN-AD-2,United Kingdom,GBR,Rail Car and Locomotive Axels,01/24/1985,04/24/1985,03/15/1985,A,A,04/24/1985,AVD,07/18/1985,08/22/1985,A,A,08/22/1985,AVD,05/16/1990,1990,AVD,.,.,.,MI,MI,.,01/24/1985,.,25.6,28.50,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-5,CAN-AD-5,Brazil,BRA,Polyphase Induction Motors,02/07/1985,06/14/1985,MI,A,MI,06/14/1985,AVD,09/04/1985,10/11/1985,A,A,10/11/1985,AVD,06/30/1994,1994,AVD,.,.,.,MI,MI,CAN-CVD-1,02/07/1985,.,6.60,6.60,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-6,CAN-AD-5,Japan,JPN,Polyphase Induction Motors,02/07/1985,06/14/1985,MI,A,MI,06/14/1985,AVD,09/04/1985,10/11/1985,A,A,10/11/1985,AVD,06/30/1994,1994,AVD,.,.,.,MI,MI,.,02/07/1985,.,20.30,13.70,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-7,CAN-AD-5,Mexico,MEX,Polyphase Induction Motors,02/07/1985,06/14/1985,MI,A,MI,06/14/1985,AVD,09/04/1985,10/11/1985,A,A,10/11/1985,AVD,06/30/1994,1994,AVD,.,.,.,MI,MI,.,02/07/1985,.,38.20,38.20,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-8,CAN-AD-5,Poland,POL,Polyphase Induction Motors,02/07/1985,06/14/1985,MI,A,MI,06/14/1985,AVD,09/04/1985,10/11/1985,A,A,10/11/1985,AVD,06/30/1994,1994,AVD,.,.,.,MI,MI,.,02/07/1985,.,52.70,49.70,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-9,CAN-AD-5,Taiwan,TWN,Polyphase Induction Motors,02/07/1985,06/14/1985,MI,A,MI,06/14/1985,AVD,09/04/1985,10/11/1985,A,A,10/11/1985,AVD,06/30/1994,1994,AVD,.,.,.,MI,MI,.,02/07/1985,.,24.60,15.90,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-10,CAN-AD-5,United Kingdom,GBR,Polyphase Induction Motors,02/07/1985,06/14/1985,MI,A,MI,06/14/1985,AVD,09/04/1985,10/11/1985,A,A,10/11/1985,AVD,06/30/1994,1994,AVD,.,.,.,MI,MI,.,02/07/1985,.,24.90,14.20,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-11,CAN-AD-11,USA,USA,Modular Automated Plants,02/14/1985,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,MI,.,.,02/14/1985,.,0.00,0.00,05/15/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-12,CAN-AD-12,USA,USA,Frozen Pot Pies and Compartment Dinners,04/24/1985,.,.,OTH,.,07/15/1985,PU,.,.,.,.,.,PU,01/14/1996,1996,PU,.,.,.,MI,.,.,04/24/1985,.,0.00,0.00,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-13,CAN-AD-13,Argentina,ARG,Barbed Wire,05/01/1985,07/29/1985,MI,A,MI,07/29/1985,AVD,10/18/1985,11/26/1985,A,A,11/26/1985,AVD,08/01/1990,1990,AVD,.,.,.,MI,MI,.,05/01/1985,.,46.21,49.86,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-14,CAN-AD-13,Brazil,BRA,Barbed Wire,05/01/1985,07/29/1985,MI,A,MI,07/29/1985,AVD,10/18/1985,11/26/1985,A,A,11/26/1985,AVD,08/01/1990,1990,AVD,.,.,.,MI,MI,.,05/01/1985,.,32.69,31.50,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-15,CAN-AD-13,Poland,POL,Barbed Wire,05/01/1985,07/29/1985,MI,A,MI,07/29/1985,AVD,10/18/1985,11/26/1985,A,A,11/26/1985,AVD,08/01/1990,1990,AVD,.,.,.,MI,MI,.,05/01/1985,.,54.71,47.30,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-16,CAN-AD-13,Korea,KOR,Barbed Wire,05/01/1985,07/29/1985,MI,A,MI,07/29/1985,AVD,10/18/1985,11/26/1985,A,A,11/26/1985,AVD,08/01/1990,1990,AVD,.,.,.,MI,MI,.,05/01/1985,.,4.26,5.56,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-17,CAN-AD-17,Japan,JPN,Surgical Adhesive Tapes and Plasters,05/08/1985,08/06/1985,07/05/1985,A,A,08/06/1985,AVD,10/28/1985,12/04/1985,A,A,12/04/1985,AVD,08/01/1990,1990,AVD,.,.,.,MI,MI,.,05/08/1985,.,57.60,57.60,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-18,CAN-AD-18,Romania,ROU,Polyphase Induction Motors,07/05/1985,08/08/1985,MI,A,MI,08/08/1985,AVD,09/05/1985,11/26/1985,A,N,.,.,.,.,.,.,.,.,MI,MI,.,07/05/1985,.,35.00,0.00,.,UK used as stand-in for non-market economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-19,CAN-AD-19,West Germany,FRG,Hot-Rolled Carbon Steel Plate,07/11/1985,.,.,OTH,.,10/09/1985,PU,.,.,.,.,.,PU,06/27/1990,1990,PU,.,.,.,MI,.,.,07/11/1985,.,0.00,0.00,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,Canada,CAN-AD-20,CAN-AD-20,Chile,CHL,Pentaerythritol,08/19/1985,11/12/1985,08/02/1985,A,A,11/12/1985,AVD,01/14/1986,03/13/1986,A,N,.,.,.,.,.,.,.,.,MI,MI,.,08/19/1985,.,51.87,0.00,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
