V_NUMBER,AD_CTY_NAME,CASE_ID,CASE_REPCODE,INV_CTY_NAME,INV_CTY_CODE,PRODUCT,INIT_DATE,P_DUMP_DATE,P_INJ_DATE,P_DUMP_DEC,P_INJ_DEC,P_AD_DATE,P_AD_MEASURE,F_DUMP_DATE,F_INJ_DATE,F_DUMP_DEC,F_INJ_DEC,F_AD_DATE,F_AD_MEASURE,REVOKE_DATE,REVOKE_YEAR,WTO_F_AD_MEASURE,WTO_F_MARGIN_MIN,WTO_F_MARGIN_MAX,WTO_CITATION,RELATED_CVD,INIT_GP,P_GP,P_AD_DUTY,F_GP,F_AD_DUTY,REVIEW_INIT_GP,CHINA_OFFICIAL_CASE_ID,
Q4_2012,China,CHN-AD-1,CHN-AD-1,South Korea,KOR,Newsprint in Rolls or Sheets,12/10/1997,07/09/1998,07/09/1998,A,A,07/09/1998,AVD,06/03/1999,06/03/1999,A,A,06/03/1999,AVD,06/30/2009,2009,AVD,.,.,.,.,Public Notice No.04/1997,Public Notice No.02/1998,17.11-55.95,Public Notice No.04/1999,9-55,Public Notice No.29/2003,0001AC2219971210 ,
Q4_2012,China,CHN-AD-2,CHN-AD-1,Canada,CAN,Newsprint in Rolls or Sheets,12/10/1997,07/09/1998,07/09/1998,A,A,07/09/1998,AVD,06/03/1999,06/03/1999,A,A,06/03/1999,AVD,06/30/2009,2009,AVD,.,.,.,.,Public Notice No.04/1997,Public Notice No.02/1998,57.95-78.93,Public Notice No.22/2009,57-78,Public Notice No.29/2003,0001AC2219971210 ,
Q4_2012,China,CHN-AD-3,CHN-AD-1,USA,USA,Newsprint in Rolls or Sheets,12/10/1997,07/09/1998,07/09/1998,A,A,07/09/1998,AVD,06/03/1999,06/03/1999,A,A,06/03/1999,AVD,06/30/2009,2009,AVD,.,.,.,.,Public Notice No.04/1997,Public Notice No.02/1998,78.93-78.93,Public Notice No.22/2010,78-78,Public Notice No.29/2003,0001AC2219971210 ,
Q4_2012,China,CHN-AD-4,CHN-AD-4,Russia,RUS,Grainoriented Other,03/12/1999,12/30/1999,12/30/1999,A,A,12/30/1999,AVD,09/11/2000,09/11/2000,A,A,09/11/2000,AVD,12/30/2004,2004,AVD,.,.,.,.,Public Notice No.01/1999,MI,11-73,Public Notice No.08/2000,6-62,Public Notice No.76/2004,0002AC3219990312 ,
Q4_2012,China,CHN-AD-5,CHN-AD-5,South Korea,KOR,Of Poly (Ethylene Terephthalate),04/16/1999,12/29/1999,12/29/1999,A,A,12/29/1999,AVD,08/25/2000,08/25/2000,A,A,08/25/2000,AVD,12/28/2010,2010,AVD,.,.,.,.,Public Notice No.02/1999,MI,21-72,Public Notice No.07/2000,13-46,Public Notice No.84/2004,0003AC2619990316 ,
Q4_2012,China,CHN-AD-6,CHN-AD-6,Japan,JPN,Cold-Rolled Steel Sheets,06/17/1999,04/13/2000,04/13/2000,A,A,04/13/2000,AVD,12/18/2000,12/18/2000,A,A,12/18/2000,AVD,04/08/2011,2011,AVD,.,.,.,.,Public Notice No.05/1999,Public Notice No.13/2001,26-75,Public Notice No.13/2001,17-58,Public Notice No.15/2005,0004AC3219990617 ,
Q4_2012,China,CHN-AD-7,CHN-AD-6,South Korea,KOR,Cold-Rolled Steel Sheets,06/17/1999,04/13/2000,04/13/2000,A,A,04/13/2000,AVD,12/18/2000,12/18/2000,A,A,12/18/2000,PU,04/08/2011,2011,PU,.,.,.,.,Public Notice No.05/1999,Public Notice No.13/2001,4-69,Public Notice No.15/2000,57-57,Public Notice No.15/2005,0004AC3219990617 ,
Q4_2012,China,CHN-AD-8,CHN-AD-8,Germany,DEU,Esters of Acrylic Acid ,12/10/1999,11/23/2000,11/23/2000,A,A,11/23/2000,AVD,06/09/2001,06/09/2001,A,A,06/09/2001,AVD,MI,2004,AVD,.,.,.,.,Public Notice No.11/1999,MI,71-74,MI,negligible import,.,0005AC2619991210,
Q4_2012,China,CHN-AD-9,CHN-AD-8,Japan,JPN,Esters of Acrylic Acid ,12/10/1999,11/23/2000,11/23/2000,A,A,11/23/2000,AVD,06/09/2001,06/09/2001,A,A,06/09/2001,AVD,11/23/2005,2005,AVD,.,.,.,.,Public Notice No.11/1999,MI,31-60,MI,31-60,.,0005AC2619991210,
Q4_2012,China,CHN-AD-10,CHN-AD-8,USA,USA,Esters of Acrylic Acid ,12/10/1999,11/23/2000,11/23/2000,A,A,11/23/2000,AVD,06/09/2001,06/09/2001,A,A,06/09/2001,AVD,11/23/2005,2005,AVD,.,.,.,.,Public Notice No.11/1999,MI,24-69,MI,31-67,.,0005AC2619991210,
Q4_2012,China,CHN-AD-11,CHN-AD-11,Germany,DEU,Dichloromethane (Methylene Chloride),12/20/2000,08/16/2001,08/16/2001,A,A,08/16/2001,AVD,04/11/2002,04/11/2002,A,A,04/11/2002,AVD,08/14/2012,2012,AVD,66.00,66.00,G/ADP/N/92/CHN,.,Public Notice No.14/2000,Public Notice No.11/2001,67-67,Public Notice No.20/2002,66-66,.,0006AC2620001220,
Q4_2012,China,CHN-AD-12,CHN-AD-11,France,FRA,Dichloromethane (Methylene Chloride),12/20/2000,08/16/2001,08/16/2001,A,A,08/16/2001,AVD,04/11/2002,04/11/2002,A,A,04/11/2002,AVD,MI,MI,AVD,MI,MI,MI,.,Public Notice No.14/2000,Public Notice No.11/2001,28-75,Public Notice No.20/2002,negligible import,.,0006AC2620001220,
Q4_2012,China,CHN-AD-13,CHN-AD-11,Netherlands,NLD,Dichloromethane (Methylene Chloride),12/20/2000,08/16/2001,08/16/2001,A,A,08/16/2001,AVD,04/11/2002,04/11/2002,A,A,04/11/2002,AVD,08/14/2012,2012,AVD,9.00,57.00,G/ADP/N/92/CHN,.,Public Notice No.14/2000,Public Notice No.11/2001,10-58,Public Notice No.20/2002,9-57,.,0006AC2620001220,
Q4_2012,China,CHN-AD-14,CHN-AD-11,South Korea,KOR,Dichloromethane (Methylene Chloride),12/20/2000,08/16/2001,08/16/2001,A,A,08/16/2001,AVD,04/11/2002,04/11/2002,A,A,04/11/2002,AVD,08/14/2012,2012,AVD,4.00,28.00,G/ADP/N/92/CHN,.,Public Notice No.14/2000,Public Notice No.11/2001,7-28,Public Notice No.20/2002,4-28,.,0006AC2620001220,
Q4_2012,China,CHN-AD-15,CHN-AD-11,UK,GBR,Dichloromethane (Methylene Chloride),12/20/2000,08/16/2001,08/16/2001,A,A,08/16/2001,AVD,04/11/2002,04/11/2002,A,A,04/11/2002,AVD,08/14/2012,2012,AVD,6.00,39.00,G/ADP/N/92/CHN,.,Public Notice No.14/2000,Public Notice No.11/2001,7-39,Public Notice No.20/2002,6-39,.,0006AC2620001220,
Q4_2012,China,CHN-AD-16,CHN-AD-11,USA,USA,Dichloromethane (Methylene Chloride),12/20/2000,08/16/2001,08/16/2001,A,A,08/16/2001,AVD,04/11/2002,04/11/2002,A,A,04/11/2002,AVD,08/14/2012,2012,AVD,49.00,58.00,G/ADP/N/92/CHN,.,Public Notice No.14/2000,Public Notice No.11/2001,49-58,Public Notice No.20/2002,49-58,.,0006AC2620001220,
