V_NUMBER,AD_CTY_NAME,CASE_ID,CASE_REPCODE,INV_CTY_NAME,INV_CTY_CODE,PRODUCT,INIT_DATE,P_DUMP_DATE,P_INJ_DATE,P_DUMP_DEC,P_INJ_DEC,P_AD_DATE,P_AD_MEASURE,F_DUMP_DATE,F_INJ_DATE,F_DUMP_DEC,F_INJ_DEC,F_AD_DATE,F_AD_MEASURE,REVOKE_DATE,REVOKE_YEAR,WTO_F_AD_MEASURE,WTO_F_MARGIN_MIN,WTO_F_MARGIN_MAX,WTO_CITATION,RELATED_CVD,INIT_GP,P_AD_DUTY,F_AD_DUTY,P_AD_MARGIN,F_AD_MARGIN,P_GP,F_GP,NOTES,FURTHER NOTES
Q4_2012,European Union,EUN-AD-1,EUN-AD-1,Romania,ROU,Herbicide,12/29/1978,02/16/1979,02/16/1979,A,A,02/16/1979,MI,05/15/1979,05/15/1979,A,A,05/15/1979,AVD,01/31/1993,1993,AVD,.,.,.,.,MI,MI,40.00,MI,MI,1979-L044,1979-L121,Council Regulation  (EEC) no 955/79,REVIEW: Final decision on 26 Jan 1988 terminates AD duty and accepts PU; product codes 29089010 and 38089010; Chimimport (Romanian firm)  renamed Danubia
Q4_2012,European Union,EUN-AD-2,EUN-AD-2,Czechoslovakia,CZE,Oxalic Acid,09/01/1981,01/25/1982,01/25/1982,A,A,01/25/1982,MI,05/17/1982,05/17/1982,A,A,05/27/1982,PU,05/29/1991,1991,PU,.,.,.,.,MI,MI,.,MI,23.90,1981-L019,1982-L148,,"REVIEW : (EEC 623/88) Requested by EC manufacturer, Destilados Agricolas Vimbodi SA in April 1987, of oxalic acid falling under CN code 29171100/NIMEXE code ex. 2915-11 ; Dumping and injury Affirmative; PU decided in 12 Dec 1988 and review terminated .  SECOND REVIEW: August 1990 requested by EC producers; P_DATE 29 May 1991 (EEC 1472/91), No dumping, Terminated."
Q4_2012,European Union,EUN-AD-3,EUN-AD-2,China,CHN,Oxalic Acid,09/01/1981,01/25/1982,01/25/1982,A,A,01/25/1982,MI,05/17/1982,05/17/1982,A,A,05/27/1982,AVD,12/13/1989,1989,AVD,.,.,.,.,MI,23.90,34.20,MI,34.20,1981-L019,1982-L148,,"REVIEW : (EEC 623/88) Requested by EC manufacturer, Destilados Agricolas Vimbodi SA in April 1987, of oxalic acid falling under CN code 29171100/NIMEXE code ex. 2915-11 ; Dumping and injury Affirmative; PU decided in 12 Dec 1988 and review terminated ; SECOND REVIEW: Aug 1990, PDATE 29 May 1991 (EEC 1472/91), Dumping and injury, prov AVD imposed, F_DATE 25  Nov 1991 (EEC 3434/91), Prel findings confirmed, AVD imposed "
Q4_2012,European Union,EUN-AD-4,EUN-AD-4,South Africa,ZAF,Certain U+I Sections of Iron or Steel,02/10/1983,MI,MI,MI,MI,MI,MI,MI,MI,A,A,07/04/1983,PU,MI,MI,MI,,,,,MI,MI,MI,MI,MI,MI,MI,,
Q4_2012,European Union,EUN-AD-5,EUN-AD-5,China,CHN,Paint/Distemper/Varnish and Similar Brushes,04/30/1986,09/29/1988,09/29/1988,A,A,09/29/1988,AVD,03/20/1989,03/20/1989,A,A,03/20/1989,AVD,05/18/1993,1993,AVD,.,.,.,.,1986-C103-2,69.00,69.00,.,.,1988-L272-16,1989-L79-24,,
Q4_2012,European Union,EUN-AD-6,EUN-AD-6,Trinidad & Tobago,TTO,Urea,02/12/1987,05/08/1987,05/08/1987,A,A,05/08/1987,SD,11/04/1987,11/04/1987,A,A,11/04/1987,PU,09/23/1991,1991,PU,.,.,.,.,1987-C34-3,ECU133/ton,.,.,.,1987-L121-11,1987-L317-1,,
Q4_2012,European Union,EUN-AD-7,EUN-AD-6,Libya,LBY,Urea,02/12/1987,05/08/1987,05/08/1987,A,A,05/08/1987,SD,11/04/1987,11/04/1987,A,A,11/04/1987,AVD,11/09/1992,1992,AVD,.,.,.,.,1987-C34-3,ECU133/ton,34.00,.,.,1987-L121-11,1987-L317-1,,
Q4_2012,European Union,EUN-AD-8,EUN-AD-6,Saudi Arabia,SAU,Urea,02/12/1987,05/08/1987,05/08/1987,A,A,05/08/1987,SD,11/04/1987,11/04/1987,A,A,11/04/1987,AVD,MI,MI,AVD,.,.,.,.,1987-C34-3,ECU133/ton,40.00,.,.,1987-L121-11,1987-L317-1,,
Q4_2012,European Union,EUN-AD-9,EUN-AD-6,Yugoslavia,YUG,Urea,02/12/1987,05/08/1987,05/08/1987,A,A,05/08/1987,SD,11/04/1987,11/04/1987,A,A,11/04/1987,PU,08/26/1994,1994,PU,.,.,.,.,1987-C34-3,ECU133/ton,.,.,.,1987-L121-11,1987-L317-1,,
Q4_2012,European Union,EUN-AD-10,EUN-AD-6,Czech Republic,CZE,Urea,02/12/1987,05/08/1987,05/08/1987,A,A,05/08/1987,SD,11/04/1987,11/04/1987,A,A,11/04/1987,PU,01/16/1995,1995,PU,.,.,.,.,1987-C34-3,ECU133/ton,.,.,.,1987-L121-11,1987-L317-1,,
Q4_2012,European Union,EUN-AD-11,EUN-AD-6,German Democratic Republic,GDR,Urea,02/12/1987,05/08/1987,05/08/1987,A,A,05/08/1987,SD,11/04/1987,11/04/1987,A,A,11/04/1987,PU,MI,MI,PU,.,.,.,.,1987-C34-3,ECU133/ton,.,.,.,1987-L121-11,1987-L317-1,,
Q4_2012,European Union,EUN-AD-12,EUN-AD-6,Kuwait,KWT,Urea,02/12/1987,05/08/1987,05/08/1987,A,A,05/08/1987,SD,11/04/1987,11/04/1987,A,A,11/04/1987,PU,MI,MI,PU,.,.,.,.,1987-C34-3,ECU133/ton,.,.,.,1987-L121-11,1987-L317-1,,
Q4_2012,European Union,EUN-AD-13,EUN-AD-6,Russia,RUS,Urea,02/12/1987,05/08/1987,05/08/1987,A,A,05/08/1987,SD,11/04/1987,11/04/1987,A,A,11/04/1987,PU,07/23/2007,2007,PU,.,.,.,.,1987-C34-3,ECU133/ton,.,.,.,1987-L121-11,1987-L317-1,,
Q4_2012,European Union,EUN-AD-14,EUN-AD-14,Russia,RUS,Mercury ,02/28/1987,MI,MI,MI,MI,MI,MI,MI,MI,A,A,08/12/1987,AVD,MI,MI,MI,.,.,.,.,MI,MI,MI,MI,MI,MI,MI,,
Q4_2012,European Union,EUN-AD-15,EUN-AD-15,Russia,RUS,Ferro-silicon,03/24/1987,MI,MI,MI,MI,MI,MI,MI,MI,A,A,06/08/1987,PU,MI,MI,MI,.,.,.,.,MI,MI,MI,MI,MI,MI,MI,,
Q4_2012,European Union,EUN-AD-16,EUN-AD-16,Japan,JPN,Eproms (Erasable Programmable Read Only Memories),04/14/1987,.,.,B,B,.,.,03/11/1991,03/11/1991,A,A,03/11/1991,PU,04/16/1997,1997,PU,.,.,.,.,1987-C101-10,.,.,.,MI,.,1991-L65-42,,
Q4_2012,European Union,EUN-AD-17,EUN-AD-17,Japan,JPN,Serial Impact Dot Matrix Printers,04/25/1987,05/17/1988,05/17/1988,A,A,05/17/1988,AVD,11/23/1988,11/23/1988,A,A,11/23/1988,AVD,11/26/1993,1993,AVD,.,.,.,.,1987-C111-2,33.40,47.00,.,.,1988-L130-12,1988-L317-33,,
Q4_2012,European Union,EUN-AD-18,EUN-AD-18,South Africa,ZAF,Kraftliner,04/28/1987,.,.,.,.,.,.,03/04/1988,03/04/1988,T,T,.,.,.,.,.,.,.,.,.,1987-C113-2,.,.,.,12.00,.,1988-L62-39,,
Q4_2012,European Union,EUN-AD-19,EUN-AD-18,Brazil,BRA,Kraftliner,04/28/1987,.,.,.,.,.,.,03/04/1988,03/04/1988,T,T,.,.,.,.,.,.,.,.,.,1987-C113-2,.,.,.,12.00,.,1988-L62-39,,
Q4_2012,European Union,EUN-AD-20,EUN-AD-20,Japan,JPN,Daisy Wheel Printers (aka Serial Impact Fully Formed (SIFF) Character Printers),05/07/1987,07/05/1988,07/05/1988,A,A,07/05/1988,AVD,01/05/1989,01/05/1989,A,A,01/05/1989,AVD,01/09/1994,1994,AVD,.,.,.,.,1987-C121-4,43.20,23.50,.,.,1988-L177-1,1989-L5-23,,
Q4_2012,European Union,EUN-AD-21,EUN-AD-21,Algeria,DZA,Iron or Steel Coils,05/12/1987,01/20/1988,01/20/1988,A,A,01/20/1988,SD,07/18/1988,07/18/1988,A,A,07/18/1988,MI,12/12/1991,1991,MI,.,.,.,.,1987-C126-2,ECU15/1000kg,ECU15/1000kg,.,5.80,1988-L18-31,1988-L188-18,,
