V_NUMBER,AD_CTY_NAME,CASE_ID,CASE_REPCODE,INV_CTY_NAME,INV_CTY_CODE,PRODUCT,INIT_DATE,P_DUMP_DATE,P_INJ_DATE,P_DUMP_DEC,P_INJ_DEC,P_AD_DATE,P_AD_MEASURE,F_DUMP_DATE,F_INJ_DATE,F_DUMP_DEC,F_INJ_DEC,F_AD_DATE,F_AD_MEASURE,REVOKE_DATE,REVOKE_YEAR,WTO_F_AD_MEASURE,WTO_F_MARGIN_MIN,WTO_F_MARGIN_MAX,WTO_CITATION,RELATED_CVD,NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-1,IND-AD-1,Brazil,BRA,PVC Paste Resin ,06/10/1992,01/18/1993,01/18/1993,A,A,MI,SD,07/30/1993,07/30/1993,A,A,01/18/1994,SD,12/23/1997,1997,SD,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-2,IND-AD-1,Mexico,MEX,PVC Paste Resin ,06/10/1992,01/18/1993,01/18/1993,A,A,MI,SD,07/30/1993,07/30/1993,A,A,01/18/1994,SD,12/23/1997,1997,SD,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-3,IND-AD-1,South Korea,KOR,PVC Paste Resin ,06/10/1992,01/18/1993,01/18/1993,A,A,MI,SD,07/30/1993,07/30/1993,A,A,01/18/1994,SD,12/23/1997,1997,SD,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-4,IND-AD-1,USA,USA,PVC Paste Resin ,06/10/1992,01/18/1993,01/18/1993,A,A,MI,SD,07/30/1993,07/30/1993,A,A,01/18/1994,SD,12/23/1997,1997,SD,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-5,IND-AD-5,Japan,JPN,Bisphenol-A,08/12/1992,08/10/1993,08/10/1993,A,A,MI,AVD,02/18/1994,02/18/1994,A,A,03/11/1994,AVD,MI,1999,AVD,.,.,.,.,"Dumping Margin = (Normal Value - Export price)/Export price = (1154-861)/861 = 34.0%, but in gazette DM given as 28.9%. For final findings no decision on duty given, but can be inferred that the duty imposed is in accordance with the adjustment to the dumping margin. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-6,IND-AD-6,China,CHN,Isobutyl Benzene (IBB),01/07/1994,08/30/1994,08/30/1994,A,A,09/20/1994,SD,07/27/1995,07/27/1995,A,A,08/31/1995,SD,MI,2000,SD,MI,MI,G/ADP/N/9/IND,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-7,IND-AD-7,China,CHN,Trimethoxy Benzaldehyde (TMBA),08/11/1994,MI,MI,A,A,MI,SD,01/31/1995,01/31/1995,A,A,03/20/1995,SD,MI,MI,SD,MI,MI,G/ADP/N/9/IND,.,"IND-AD-70 was a review of this case, initiation date taken from contact",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-8,IND-AD-8,China,CHN,Theophyline & Caffeine,08/30/1994,MI,MI,A,A,MI,SD,07/26/1995,07/26/1995,A,A,10/30/1995,SD,MI,MI,SD,MI,MI,G/ADP/N/9/IND,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-9,IND-AD-9,Japan,JPN,Acrylonitrile Butadiene Rubber (Nbr),10/28/1994,.,.,B,B,.,.,10/19/1995,10/19/1995,A,A,11/14/1995,SD,12/21/2006,2006,SD,MI,MI,G/ADP/N/9/IND,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,India,IND-AD-10,IND-AD-10,Brazil,BRA,Bisphenol-A,12/30/1994,.,.,B,B,.,.,11/20/1995,11/20/1995,A,A,12/26/1995,SD,MI,2000,SD,MI,MI,G/ADP/N/9/IND,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
