V_NUMBER,AD_CTY_NAME,CASE_ID,CASE_REPCODE,INV_CTY_NAME,INV_CTY_CODE,PRODUCT,INIT_DATE,P_DUMP_DATE,P_INJ_DATE,P_DUMP_DEC,P_INJ_DEC,P_AD_DATE,P_AD_MEASURE,F_DUMP_DATE,F_INJ_DATE,F_DUMP_DEC,F_INJ_DEC,F_AD_DATE,F_AD_MEASURE,REVOKE_DATE,REVOKE_YEAR,WTO_F_AD_MEASURE,WTO_F_MARGIN_MIN,WTO_F_MARGIN_MAX,WTO_CITATION,P_AVG_DUTY,F_AVG_DUTY,PET_DATE,INJ_INIT_DATE,DUMP_INIT_DATE,TERM_DATE,NOTES,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-1,TWN-AD-1,Pakistan,PAK,Cotton Yarn,11/01/1983,MI,MI,MI,MI,MI,MI,10/01/1984,10/01/1984,N,N,MI,.,.,.,.,.,.,.,.,.,.,.,.,.,no evidence,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-2,TWN-AD-2,Japan,JPN,Stainles Steel Bars and Rods,03/01/1984,MI,MI,MI,MI,MI,MI,10/20/1984,10/20/1984,A,A,MI,AVD,MI,MI,AVD,.,.,.,MI,MI,MI,MI,MI,MI,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-3,TWN-AD-3,Germany,DEU,Tamaron (Methamidopos),08/01/1984,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8/1984,MI,MI,10/1986,Case withdrawn by applicant,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-4,TWN-AD-4,Japan,JPN,Phthalic Anhydride,06/01/1985,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6/1985,MI,MI,8/1986,Rejected due to failure to supplement document.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-5,TWN-AD-5,Indonesia,IDN,Plywood,09/01/1985,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,PU,MI,MI,PU,.,.,.,.,.,9/1985,MI,MI,12/1986,Terminated due to adoption of minimum export price measures proposed by Indonesian government.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-6,TWN-AD-6,Poland,POL,H-Beam,09/01/1985,MI,MI,MI,MI,MI,MI,03/20/1986,03/20/1986,A,A,MI,AVD,MI,MI,AVD,.,.,.,MI,MI,MI,MI,MI,MI,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-7,TWN-AD-6,Russia,RUS,H-Beam,09/01/1985,MI,MI,MI,MI,MI,MI,03/20/1986,03/20/1986,A,A,MI,AVD,MI,MI,AVD,.,.,.,MI,MI,MI,MI,MI,MI,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-8,TWN-AD-6,Australia,AUS,H-Beam,09/01/1985,MI,MI,MI,MI,MI,MI,03/20/1986,03/20/1986,N,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-9,TWN-AD-6,South Korea,KOR,H-Beam,09/01/1985,MI,MI,MI,MI,MI,MI,03/20/1986,03/20/1986,A,A,.,AVD,MI,MI,AVD,.,.,.,MI,MI,MI,MI,MI,MI,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-10,TWN-AD-10,USA,USA,Styrene Monomer,03/01/1986,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3/1986,MI,MI,8/1986,Rejected due to noncompliance with duty levy requirements,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-11,TWN-AD-10,Saudia Arabia,SAU,Styrene Monomer,03/01/1986,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3/1986,MI,MI,8/1986,Rejected due to noncompliance with duty levy requirements,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-12,TWN-AD-12,South Africa,ZAF,Ferro-Manganase,09/01/1986,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9/1986,MI,MI,11/1986,Rejected due to failure to supplement documents.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-13,TWN-AD-12,South Africa,ZAF,Ferro-Silico-Manganase,09/01/1986,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9/1986,MI,MI,11/1986,Rejected due to failure to supplement documents.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-14,TWN-AD-14,Brazil ,BRA,Uncoated Stress-Relieved Steel Strands for Prestressed Concrete,11/01/1986,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,.,.,.,MI,MI,MI,MI,MI,MI,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-15,TWN-AD-14,India,IND,Uncoated Stress-Relieved Steel Strands for Prestressed Concrete,11/01/1986,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,.,.,.,MI,MI,MI,MI,MI,MI,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-16,TWN-AD-14,Argentina,ARG,Uncoated Stress-Relieved Steel Strands for Prestressed Concrete,11/01/1986,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,.,.,.,MI,MI,MI,MI,MI,MI,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-17,TWN-AD-17,Spain,ESP,Uncoated Stress-Relieved Steel Wires for Prestressed Concrete,11/01/1986,MI,MI,MI,MI,MI,MI,MI,MI,A,A,MI,AVD,MI,MI,AVD,.,.,.,MI,MI,MI,MI,MI,MI,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-18,TWN-AD-17,India,IND,Uncoated Stress-Relieved Steel Wires for Prestressed Concrete,11/01/1986,MI,MI,MI,MI,MI,MI,MI,MI,A,A,MI,AVD,MI,MI,AVD,.,.,.,MI,MI,MI,MI,MI,MI,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-19,TWN-AD-17,South Korea,KOR,Uncoated Stress-Relieved Steel Wires for Prestressed Concrete,11/01/1986,MI,MI,MI,MI,MI,MI,MI,MI,A,A,MI,AVD,MI,MI,AVD,.,.,.,MI,MI,MI,MI,MI,MI,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-20,TWN-AD-20,Spain,ESP,Steel Shot and Steel Grit,03/01/1987,MI,MI,MI,MI,MI,MI,MI,MI,N,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-21,TWN-AD-20,Italy,ITA,Steel Shot and Steel Grit,03/01/1987,MI,MI,MI,MI,MI,MI,MI,MI,N,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-22,TWN-AD-20,South Africa,ZAF,Steel Shot and Steel Grit,03/01/1987,MI,MI,MI,MI,MI,MI,MI,MI,N,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-23,TWN-AD-23,USA,USA,Carbon Black,06/01/1987,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6/1987,MI,MI,10/1987,Rejected due to noncompliance with duty levy requirements.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-24,TWN-AD-23,Mexico,MEX,Carbon Black,06/01/1987,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6/1987,MI,MI,10/1987,Rejected due to noncompliance with duty levy requirements.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-25,TWN-AD-25,USA,USA,Hepatitis B Test Kit,07/01/1987,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,PU,04/01/1989,1989,PU,.,.,.,.,.,7/1987,MI,MI,.,Terminated after expiration of price undertaking.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-26,TWN-AD-26,Japan,JPN,H-Beam,11/01/1987,MI,MI,MI,MI,MI,MI,MI,MI,A,A,MI,AVD,MI,MI,AVD,.,.,.,MI,MI,MI,MI,MI,MI,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-27,TWN-AD-27,Japan,JPN,Art Paper,12/01/1987,MI,MI,MI,MI,MI,MI,03/01/1988,03/01/1988,A,A,MI,AVD,MI,MI,AVD,.,.,.,MI,MI,MI,MI,MI,MI,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-28,TWN-AD-27,Indonesia,IDN,Art Paper,12/01/1987,MI,MI,MI,MI,MI,MI,03/01/1988,03/01/1988,A,A,MI,AVD,MI,MI,AVD,.,.,.,MI,MI,MI,MI,MI,MI,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-29,TWN-AD-29,Thailand,THA,Uncoated Printing & Writing  Paper,12/01/1987,MI,MI,MI,MI,MI,MI,03/01/1988,03/01/1988,N,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-30,TWN-AD-29,Indonesia,IDN,Uncoated Printing & Writing  Paper,12/01/1987,MI,MI,MI,MI,MI,MI,03/01/1988,03/01/1988,N,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-31,TWN-AD-31,Brazil,BRA,Certain Hot-Rolled Steel Plates,04/01/1988,MI,MI,MI,MI,MI,MI,09/17/1988,09/17/1988,N,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-32,TWN-AD-31,Ukraine,UKR,Certain Hot-Rolled Steel Plates,04/01/1988,MI,MI,MI,MI,MI,MI,09/17/1988,09/17/1988,N,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-33,TWN-AD-31,Russia,RUS,Certain Hot-Rolled Steel Plates,04/01/1988,MI,MI,MI,MI,MI,MI,09/17/1988,09/17/1988,N,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-34,TWN-AD-34,USA,USA,DRAM,04/01/1988,MI,MI,MI,MI,MI,MI,MI,MI,N,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-35,TWN-AD-35,USA,USA,Acrylonitrile,08/01/1988,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,.,.,.,MI,MI,MI,MI,MI,MI,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-36,TWN-AD-35,Japan,JPN,Acrylonitrile,08/01/1988,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,.,.,.,MI,MI,MI,MI,MI,MI,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-37,TWN-AD-35,South Korea,KOR,Acrylonitrile,08/01/1988,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,.,.,.,MI,MI,MI,MI,MI,MI,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-38,TWN-AD-38,Brazil,BRA,Nitrocellulose,06/01/1988,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6/1988,MI,MI,4/1989,Withdrawn by the Applicant.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-39,TWN-AD-39,Japan,JPN,Alpolic,04/01/1989,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4/1989,MI,MI,4/1989,Rejected due to noncompliance with application requirements.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-40,TWN-AD-40,South Korea,KOR,Ethyl Acetate,12/01/1989,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12/1989,MI,MI,4/1991,Rejected due to noncompliance with application requirements.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-41,TWN-AD-41,South Korea,KOR,Uncoated Stress-Relieved Steel Strand for Pre-Stressed Concrete,12/01/1989,MI,MI,MI,MI,MI,MI,MI,MI,N,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-42,TWN-AD-41,Thailand,THA,Uncoated Stress-Relieved Steel Strand for Pre-Stressed Concrete,12/01/1989,MI,MI,MI,MI,MI,MI,MI,MI,N,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-43,TWN-AD-41,Malaysia,MYS,Uncoated Stress-Relieved Steel Strand for Pre-Stressed Concrete,12/01/1989,MI,MI,MI,MI,MI,MI,MI,MI,N,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-44,TWN-AD-44,South Africa,ZAF,Aluminum Plates/Sheets/Strips,04/01/1990,MI,MI,MI,MI,MI,MI,05/01/1992,MI,MI,MI,.,PU,12/24/1993,1993,PU,.,.,.,.,.,4/1990,MI,MI,.,Terminated after expiration of Quantity Undertaking.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-45,TWN-AD-45,Philippines,PHL,Type I and Type II of Portland Cement and of its Clinker,07/01/1990,MI,MI,MI,MI,MI,MI,MI,MI,A,A,MI,MI,MI,MI,MI,.,.,.,MI,MI,MI,MI,MI,MI,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-46,TWN-AD-45,South Korea,KOR,Type I and Type II of Portland Cement and of its Clinker,07/01/1990,MI,MI,MI,MI,MI,MI,MI,MI,A,A,MI,MI,MI,MI,MI,.,.,.,MI,MI,MI,MI,MI,MI,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-47,TWN-AD-47,South Korea,KOR,Galvanized Steel Coil,09/01/1990,MI,MI,MI,MI,MI,MI,03/01/1992,MI,MI,MI,.,PU,12/24/1993,1993,PU,.,.,.,.,.,9/1990,MI,MI,.,Terminated after expiration of Price Undertaking.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-48,TWN-AD-47,South Korea,KOR,Pre-Painted Galvanized Steel Coil,09/01/1990,MI,MI,MI,MI,MI,MI,03/01/1992,MI,MI,MI,.,PU,12/24/1993,1993,PU,.,.,.,.,.,9/1990,MI,MI,.,Terminated after expiration of Price Undertaking.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-49,TWN-AD-49,Indonesia,IDN,Uncoated Stress-Relieved Steel Strand for Pre-Stressed Concrete,09/01/1990,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,.,.,.,MI,MI,MI,MI,MI,MI,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-50,TWN-AD-50,South Korea,KOR,Poly Butylene Terapthalate,01/01/1991,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1/1991,MI,MI,10/1992,Withdrawn by the applicant,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-51,TWN-AD-51,Japan,JPN,Sodium Dithinite,08/01/1991,.,.,MI,MI,.,.,12/01/1992,12/01/1992,A,A,12/01/1992,SD,02/10/1999,1999,SD,.,.,.,.,45.76,8/1991,MI,MI,.,"1.   Anti-dumping duty levied at 45.76%, from Dec. 1, 1992. Reference subheadings:2831.10.10.    2. Terminated, after sunset review, on February 10, 1999.",,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-52,TWN-AD-52,Brazil,BRA,Nitrocellulose,08/01/1991,.,.,MI,MI,.,.,02/25/1994,02/25/1994,A,A,02/25/1994,SD,04/15/1999,1999,SD,.,.,.,.,32,8/1991,MI,MI,.,"1. Anti-dumping duty levied at 32%, from February 25, 1994.  2. Terminated on April 15, 1999, after expiration of the AD measure.",,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-53,TWN-AD-53,Brazil,BRA,Steel Plates,08/01/1992,.,.,MI,MI,.,.,04/01/1994,MI,MI,MI,MI,PU,04/01/1994,1994,PU,.,.,.,.,MI,8/1992,MI,MI,MI,Terminated due to expiration of Price Undertaking.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-54,TWN-AD-53,South Korea,KOR,Steel Plates,08/01/1992,.,.,MI,MI,.,.,04/01/1994,MI,MI,MI,MI,PU,04/01/1994,1994,PU,.,.,.,.,MI,8/1992,MI,MI,MI,Terminated due to expiration of Price Undertaking.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-55,TWN-AD-55,Brazil,BRA,Bars and Wire Rods (Hot Rolled of Iron or Non-Alloyed Steel),09/01/1992,.,.,MI,MI,.,.,04/01/1994,04/01/1994,A,A,04/25/1994,SD,05/06/1999,1999,SD,.,.,.,.,19.66-31.60,9/1992,MI,MI,.,"1.  AD Duty levied at 19.66%_31.60%, from April 25, 1994.  2. Terminated on May 6, 1999, after expiration of the AD measure.",,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-56,TWN-AD-56,Japan,JPN,Polypropylene,10/01/1992,.,.,MI,MI,.,.,05/01/1994,05/01/1994,A,A,05/16/1994,SD,04/22/1995,1995,SD,.,.,.,.,5.16-68.71,10/1992,MI,MI,.,"1.      AD Duty levied at 5.16% ~ 68.71% (Japan), 4.77%~35.01% (Korea), from May 16, 1994.  Reference subheadings:3902.10.00  Terminated on April 22, 1995, after review on change of circumstances.",,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-57,TWN-AD-56,South Korea,KOR,Polypropylene,10/01/1992,.,.,MI,MI,.,.,05/01/1994,05/01/1994,A,A,05/16/1994,SD,04/22/1995,1995,SD,.,.,.,.,4.77-35.01,10/1992,MI,MI,.,"1.      AD Duty levied at 5.16% ~ 68.71% (Japan), 4.77%~35.01% (Korea), from May 16, 1994.  Reference subheadings:3902.10.00  Terminated on April 22, 1995, after review on change of circumstances.",,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-58,TWN-AD-58,South Korea,KOR,Cold Rolled Steel Coil (Sheets),10/01/1992,.,.,MI,MI,.,.,MI,03/08/1994,MI,N,.,.,.,.,.,.,.,.,.,.,10/1992,MI,MI,.,Terminated due to no injury to Domestic Industry.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-59,TWN-AD-59,South Korea,KOR,Bars and Wire Rods (Hot Rolled in Coil of Stainless Steel),10/01/1992,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10/1992,MI,MI,1/1993,Withdrawn by the applicant.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-60,TWN-AD-60,South Korea,KOR,High Density and Low Density Polyethylene,11/01/1992,.,.,MI,MI,.,.,05/16/1994,05/16/1994,A,A,05/16/1994,SD,04/22/1995,1995,SD,.,.,.,.,4.17-9.45,11/1992,MI,MI,.,"1.      AD Duty levied at 4.17%~ 9.45% (HDPE); 6.10%~6.51% (LDPE), from May 16, 1994.  Reference subheadings:3901.20.00 3901.10.00   2. Terminated on Apr. 22, 1995, after review on change of circumstances.",,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-61,TWN-AD-61,South Korea,KOR,Aluminum Foil Backed with Paper,06/01/1993,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6/1993,MI,MI,11/1993,Rejected due to noncompliance with application requirements.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-62,TWN-AD-62,Brazil,BRA,Bleached Hardwood Sulphate Kraft Pulp,07/01/1993,.,.,MI,MI,.,.,08/01/1995,08/01/1995,MI,N,.,.,.,.,.,.,.,.,.,.,7/1993,MI,MI,.,Terminated due to no injury to Domestic Industry.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-63,TWN-AD-62,Canada,CAN,Bleached Hardwood Sulphate Kraft Pulp,07/01/1993,.,.,MI,MI,.,.,08/01/1995,08/01/1995,MI,N,.,.,.,.,.,.,.,.,.,.,7/1993,MI,MI,.,Terminated due to no injury to Domestic Industry.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-64,TWN-AD-62,Indonesia,IDN,Bleached Hardwood Sulphate Kraft Pulp,07/01/1993,.,.,MI,MI,.,.,08/01/1995,08/01/1995,MI,N,.,.,.,.,.,.,.,.,.,.,7/1993,MI,MI,.,Terminated due to no injury to Domestic Industry.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-65,TWN-AD-62,USA,USA,Bleached Hardwood Sulphate Kraft Pulp,07/01/1993,.,.,MI,MI,.,.,08/01/1995,08/01/1995,MI,N,.,.,.,.,.,.,.,.,.,.,7/1993,MI,MI,.,Terminated due to no injury to Domestic Industry.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-66,TWN-AD-66,Japan,JPN,Pentaeryphritol,07/01/1993,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7/1993,MI,MI,2/1995,Terminated. (Public Interest),,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-67,TWN-AD-67,South Korea,KOR,Dioctyl Orophthalate and Diethyl Hexylphthalate,08/01/1993,.,.,MI,MI,.,.,MI,12/01/1994,A,N,.,.,.,.,.,.,.,.,.,.,8/1993,MI,MI,.,Terminated due to unclear causal link between Dumping and Injury.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-68,TWN-AD-68,Australia,AUS,Hot-Rolled Steel Coil,10/01/1993,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10/1993,MI,MI,11/1993,Rejected due to noncompliance with application requirements.,,,,,,,,,,
