V_NUMBER,AD_CTY_NAME,CASE_ID,CASE_REPCODE,INV_CTY_NAME,INV_CTY_CODE,PRODUCT,INIT_DATE,P_DUMP_DATE,P_INJ_DATE,P_DUMP_DEC,P_INJ_DEC,P_AD_DATE,P_AD_MEASURE,F_DUMP_DATE,F_INJ_DATE,F_DUMP_DEC,F_INJ_DEC,F_AD_DATE,F_AD_MEASURE,REVOKE_DATE,REVOKE_YEAR,WTO_F_AD_MEASURE,WTO_F_MARGIN_MIN,WTO_F_MARGIN_MAX,WTO_CITATION,CASE_ITA,CASE_ITC,RELATED_CVD,ITC_REPCODE,INIT_DATE_ITA,INIT_DATE_ITC,TERM_DATE,P_AD_DUTY,F_AD_DUTY,INIT_ITA_GP,INIT_ITC_GP,P_DUMP_GP,P_INJ_GP,F_DUMP_GP,F_INJ_GP,F_AD_MEASURE_GP,TERM_GP,REVOKE_GP,SUSP_GP,NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-1,USA-AD-1,Japan,JPN,Spun Acrylic Yarn,01/04/1979,07/13/1979,MI,MI,MI,07/13/1979,MI,10/25/1979,03/26/1980,MI,MI,04/09/1980,AVD,07/21/1994,1994,AVD,.,.,.,.,731-TA-001,.,731-TA-001,01/04/1979,MI,.,MI,23.19,44/ 1238,MI,44/ 41004,MI,44/ 61492,45/ 19682,45/ 24127,.,59/ 37221,.,missing online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-2,USA-AD-1,Italy,ITA,Spun Acrylic Yarn,07/02/1979,MI,MI,MI,MI,MI,MI,12/20/1979,03/26/1980,MI,MI,04/08/1980,AVD,08/12/1994,1994,AVD,.,.,.,A-475-084 ,731-TA-002,.,731-TA-001,07/02/1979,MI,.,MI,48.05,44/ 38696,MI,MI,MI,44/ 75547,45/ 19682,45/ 23684,.,59/ 41432,.,missing online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-3,USA-AD-3,Canada,CAN,Sugar and Syrups,04/30/1979,MI,MI,MI,MI,MI,MI,11/08/1979,03/26/1980,MI,A,04/09/1980,AVD,MI,MI,AVD,.,.,.,.,731-TA-003,.,731-TA-003,04/30/1979,MI,.,MI,19.70,44/ 25284,MI,MI,MI,44/ 64946,45/ 19687,45/ 24126,.,MI,.,missing online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-4,USA-AD-4,Japan,JPN,Microwave Ovens,08/29/1979,07/15/1980,02/21/1980,MI,MI,07/15/1980,MI,12/03/1980,MI,MI,N,.,.,.,.,.,.,.,.,.,731-TA-004,.,731-TA-004,08/29/1979,MI,12/11/1980,MI,.,44/ 50668,MI,45/ 47456,45/ 11612,45/ 80157,MI,.,45/ 81687,.,.,missing online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-5,USA-AD-5,Italy,ITA,Rail Passenger Cars,11/27/1979,MI,02/22/1980,MI,MI,MI,MI,MI,MI,MI,MI,.,.,.,.,.,.,.,.,.,731-TA-005,.,731-TA-005,11/27/1979,MI,.,MI,.,44/ 67747,MI,MI,45/ 11942,MI,MI,.,.,.,.,missing online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-6,USA-AD-5,Japan,JPN,Rail Passenger Cars,11/27/1979,MI,02/22/1980,MI,MI,MI,MI,MI,MI,MI,MI,.,.,.,.,.,.,.,.,.,731-TA-006,.,731-TA-005,11/27/1979,MI,.,MI,.,44/ 67747,MI,MI,45/ 11942,MI,MI,.,.,.,.,missing online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-7,USA-AD-7,Japan,JPN,Large Electric Motors,10/03/1979,06/20/1980,02/22/1980,MI,MI,06/20/1980,MI,11/06/1980,12/24/1980,MI,MI,12/24/1980,AVD,11/19/1996,1996,AVD,.,.,.,.,731-TA-007,.,731-TA-007,10/03/1979,MI,.,MI,6.30,45/ 57001,MI,45/ 41687,45/ 11939,45/ 73723,45/ 85189,45/ 84994,.,MI,.,missing online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-8,USA-AD-8,West Germany,FRG,Sodium Hydroxide,04/20/1979,MI,02/21/1980,MI,MI,MI,MI,MI,MI,MI,MI,.,.,.,.,.,.,.,.,.,731-TA-008,.,731-TA-008,04/20/1979,MI,.,MI,.,44/ 23622,MI,MI,45/ 11617,MI,MI,.,.,.,.,missing online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-9,USA-AD-8,France,FRA,Sodium Hydroxide,04/20/1979,MI,02/21/1980,MI,MI,MI,MI,MI,MI,MI,MI,.,.,.,.,.,.,.,.,.,731-TA-009,.,731-TA-008,04/20/1979,MI,.,MI,.,44/ 23622,MI,MI,45/ 11617,MI,MI,.,.,.,.,missing online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-10,USA-AD-8,Italy,ITA,Sodium Hydroxide,04/20/1979,MI,02/21/1980,MI,MI,MI,MI,MI,MI,MI,MI,.,.,.,.,.,.,.,.,.,731-TA-010,.,731-TA-008,04/20/1979,MI,.,MI,.,44/ 23622,MI,MI,45/ 11617,MI,MI,.,.,.,.,missing online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-11,USA-AD-8,United Kingdom,GBR,Sodium Hydroxide,04/20/1979,MI,02/21/1980,MI,MI,MI,MI,MI,MI,MI,MI,.,.,.,.,.,.,.,.,.,731-TA-011,.,731-TA-008,04/20/1979,MI,.,MI,.,44/ 23622,MI,MI,45/ 11617,MI,MI,.,.,.,.,missing online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-12,USA-AD-12,Japan,JPN,Portable Electric Typewriters,05/18/1979,MI,MI,MI,MI,MI,MI,03/21/1980,05/07/1980,MI,MI,05/09/1980,AVD,05/02/1994,1994,AVD,.,.,.,.,731-TA-012,.,731-TA-012,05/18/1979,MI,.,MI,4.36,44/ 29191,MI,MI,MI,45/ 18416,45/ 30186,45/ 30618,.,59/ 22584,.,missing online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-13,USA-AD-13,Austria,AUT,Melamine in Crystal,05/01/1979,MI,MI,MI,MI,MI,MI,03/27/1980,05/14/1980,MI,MI,.,.,.,.,.,.,.,.,.,731-TA-013,.,731-TA-013,05/01/1979,MI,.,MI,.,44/ 25555,MI,MI,MI,45/ 20151,45/ 31830,.,.,.,.,missing online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-14,USA-AD-13,Italy,ITA,Melamine in Crystal,05/01/1979,MI,MI,MI,MI,MI,MI,03/21/1980,05/14/1980,MI,MI,.,.,.,.,.,.,.,.,.,731-TA-014,.,731-TA-013,05/01/1979,MI,.,MI,.,44/ 25555,MI,MI,MI,45/ 18415,45/ 31830,.,.,.,.,missing online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-15,USA-AD-15,Japan,JPN,Iron or Steel Pipe,03/12/1980,MI,07/16/1980,MI,N,MI,.,MI,MI,N,MI,.,.,.,.,.,.,.,.,.,731-TA-015,.,731-TA-015,03/12/1980,03/18/1980,.,.,.,45/ 16051,MI,MI,45/ 47769,MI,MI,.,.,.,.,missing online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-16,USA-AD-16,Netherlands,NLD,Melamine in Crystal,05/01/1979,MI,MI,MI,MI,MI,MI,05/05/1980,MI,MI,MI,.,.,.,.,.,.,.,.,A-421-004,731-TA-016,.,731-TA-016,05/01/1979,MI,.,MI,.,44/ 25555,MI,MI,MI,45/ 29619,MI,.,.,.,.,missing online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4_2012,USA,USA-AD-17,USA-AD-17,Canada,CAN,Clams in Containers,03/13/1980,MI,04/30/1980,MI,MI,MI,MI,MI,MI,MI,MI,.,.,.,.,.,.,.,.,.,731-TA-017,.,731-TA-017,03/13/1980,MI,.,MI,.,45/ 16359,MI,MI,45/ 28840,MI,MI,.,.,.,.,missing online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
